,driver,year,round,circuit,constructor,status,position,points,laps,race_time,fastest_lap_time,lap,fastest_lap_rank,average_speed
0,ader,1950,3,indianapolis,rae,+15 Laps,22,0,123,NaN,NaN,NaN,NaN,NaN
1,agabashian,1950,3,indianapolis,kurtis_kraft,Oil leak,28,0,64,NaN,NaN,NaN,NaN,NaN
2,ascari,1950,2,monaco,ferrari,+1 Lap,2,6,99,NaN,NaN,NaN,NaN,NaN
3,ascari,1950,4,bremgarten,ferrari,Oil pump,17,0,4,NaN,NaN,NaN,NaN,NaN
4,ascari,1950,5,spa,ferrari,+1 Lap,5,2,34,NaN,NaN,NaN,NaN,NaN
5,ascari,1950,7,monza,ferrari,Finished,2,3,80,NaN,NaN,NaN,NaN,NaN
6,banks,1950,3,indianapolis,maserati,Oil line,25,0,112,NaN,NaN,NaN,NaN,NaN
7,bettenhausen,1950,3,indianapolis,kurtis_kraft,+2 Laps,5,1,136,NaN,NaN,NaN,NaN,NaN
8,biondetti,1950,7,monza,ferrari,Engine,18,0,17,NaN,NaN,NaN,NaN,NaN
9,bira,1950,1,silverstone,maserati,Out of fuel,14,0,49,NaN,NaN,NaN,NaN,NaN
10,bira,1950,2,monaco,maserati,+5 Laps,5,2,95,NaN,NaN,NaN,NaN,NaN
11,bira,1950,4,bremgarten,maserati,+2 Laps,4,3,40,NaN,NaN,NaN,NaN,NaN
12,bira,1950,7,monza,maserati,Engine,25,0,1,NaN,NaN,NaN,NaN,NaN
13,bonetto,1950,4,bremgarten,maserati,+2 Laps,5,2,40,NaN,NaN,NaN,NaN,NaN
14,bonetto,1950,6,reims,maserati,Engine,10,0,14,NaN,NaN,NaN,NaN,NaN
15,bonetto,1950,7,monza,milano,Withdrew,27,0,0,NaN,NaN,NaN,NaN,NaN
16,branca,1950,4,bremgarten,maserati,+7 Laps,11,0,35,NaN,NaN,NaN,NaN,NaN
17,branca,1950,5,spa,maserati,+6 Laps,10,0,29,NaN,NaN,NaN,NaN,NaN
18,walt_brown,1950,3,indianapolis,kurtis_kraft,+11 Laps,19,0,127,NaN,NaN,NaN,NaN,NaN
19,cabantous,1950,1,silverstone,lago,+2 Laps,4,3,68,NaN,NaN,NaN,NaN,NaN
20,cabantous,1950,4,bremgarten,lago,Accident,18,0,0,NaN,NaN,NaN,NaN,NaN
21,cabantous,1950,5,spa,lago,Oil pipe,14,0,2,NaN,NaN,NaN,NaN,NaN
22,cabantous,1950,6,reims,lago,+12 Laps,8,0,52,NaN,NaN,NaN,NaN,NaN
23,cantrell,1950,3,indianapolis,adams,Oil pressure,27,0,108,NaN,NaN,NaN,NaN,NaN
24,darter,1950,3,indianapolis,stevens,+5 Laps,12,0,133,NaN,NaN,NaN,NaN,NaN
25,chaboud,1950,5,spa,lago,Oil pipe,11,0,22,NaN,NaN,NaN,NaN,NaN
26,chaboud,1950,6,reims,lago,+5 Laps,5,1,59,NaN,NaN,NaN,NaN,NaN
27,chiron,1950,1,silverstone,maserati,Clutch,18,0,26,NaN,NaN,NaN,NaN,NaN
28,chiron,1950,2,monaco,maserati,+2 Laps,3,4,98,NaN,NaN,NaN,NaN,NaN
29,chiron,1950,4,bremgarten,maserati,+3 Laps,9,0,39,NaN,NaN,NaN,NaN,NaN
30,chiron,1950,6,reims,maserati,Engine,15,0,6,NaN,NaN,NaN,NaN,NaN
31,chiron,1950,7,monza,maserati,Oil pressure,22,0,13,NaN,NaN,NaN,NaN,NaN
32,chitwood,1950,3,indianapolis,kurtis_kraft,+2 Laps,5,1,136,NaN,NaN,NaN,NaN,NaN
33,claes,1950,1,silverstone,lago,+6 Laps,11,0,64,NaN,NaN,NaN,NaN,NaN
34,claes,1950,2,monaco,lago,+6 Laps,7,0,94,NaN,NaN,NaN,NaN,NaN
35,claes,1950,4,bremgarten,lago,+4 Laps,10,0,38,NaN,NaN,NaN,NaN,NaN
36,claes,1950,5,spa,lago,+3 Laps,8,0,22,NaN,NaN,NaN,NaN,NaN
37,claes,1950,6,reims,lago,Overheating,11,0,11,NaN,NaN,NaN,NaN,NaN
38,claes,1950,7,monza,lago,Overheating,16,0,22,NaN,NaN,NaN,NaN,NaN
39,comotti,1950,7,monza,maserati,Retired,20,0,15,NaN,NaN,NaN,NaN,NaN
40,george_connor,1950,3,indianapolis,lesovsky,+3 Laps,8,0,135,NaN,NaN,NaN,NaN,NaN
41,crossley,1950,1,silverstone,alta,Transmission,16,0,43,NaN,NaN,NaN,NaN,NaN
42,crossley,1950,5,spa,alta,+5 Laps,9,0,30,NaN,NaN,NaN,NaN,NaN
43,davies,1950,3,indianapolis,ewing,+10 Laps,17,0,128,NaN,NaN,NaN,NaN,NaN
44,graffenried,1950,1,silverstone,maserati,Engine,17,0,36,NaN,NaN,NaN,NaN,NaN
45,graffenried,1950,2,monaco,maserati,Accident,15,0,0,NaN,NaN,NaN,NaN,NaN
46,graffenried,1950,4,bremgarten,maserati,+2 Laps,6,0,40,NaN,NaN,NaN,NaN,NaN
47,graffenried,1950,7,monza,maserati,+8 Laps,6,0,72,NaN,NaN,NaN,NaN,NaN
48,dinsmore,1950,3,indianapolis,kurtis_kraft,Oil leak,33,0,10,NaN,NaN,NaN,NaN,NaN
49,etancelin,1950,1,silverstone,lago,+5 Laps,8,0,65,NaN,NaN,NaN,NaN,NaN
50,etancelin,1950,2,monaco,lago,Oil leak,9,0,38,NaN,NaN,NaN,NaN,NaN
51,etancelin,1950,4,bremgarten,lago,Gearbox,13,0,25,NaN,NaN,NaN,NaN,NaN
52,etancelin,1950,5,spa,lago,Overheating,13,0,15,NaN,NaN,NaN,NaN,NaN
53,etancelin,1950,6,reims,lago,+5 Laps,5,1,59,NaN,NaN,NaN,NaN,NaN
54,etancelin,1950,7,monza,lago,+5 Laps,5,2,75,NaN,NaN,NaN,NaN,NaN
55,fagioli,1950,1,silverstone,alfa,Finished,2,6,70,+2.6,NaN,NaN,NaN,NaN
56,fagioli,1950,2,monaco,alfa,Accident,12,0,0,NaN,NaN,NaN,NaN,NaN
57,fagioli,1950,4,bremgarten,alfa,Finished,2,6,42,+0.4,NaN,NaN,NaN,NaN
58,fagioli,1950,5,spa,alfa,Finished,2,6,35,+14.0,NaN,NaN,NaN,NaN
59,fagioli,1950,6,reims,alfa,Finished,2,6,64,+25.7,NaN,NaN,NaN,NaN
60,fagioli,1950,7,monza,alfa,Finished,3,4,80,+1:35.6,NaN,NaN,NaN,NaN
61,fangio,1950,1,silverstone,alfa,Oil leak,12,0,62,NaN,NaN,NaN,NaN,NaN
62,fangio,1950,2,monaco,alfa,Finished,1,9,100,3:13:18.7,NaN,NaN,NaN,NaN
63,fangio,1950,4,bremgarten,alfa,Engine,12,0,32,NaN,NaN,NaN,NaN,NaN
64,fangio,1950,5,spa,alfa,Finished,1,8,35,2:47:26.0,NaN,NaN,NaN,NaN
65,fangio,1950,6,reims,alfa,Finished,1,9,64,2:57:52.8,NaN,NaN,NaN,NaN
66,fangio,1950,7,monza,alfa,Engine,13,0,34,NaN,NaN,NaN,NaN,NaN
67,farina,1950,1,silverstone,alfa,Finished,1,9,70,2:13:23.6,NaN,NaN,NaN,NaN
68,farina,1950,2,monaco,alfa,Accident,11,0,0,NaN,NaN,NaN,NaN,NaN
69,farina,1950,4,bremgarten,alfa,Finished,1,9,42,2:02:53.7,NaN,NaN,NaN,NaN
70,farina,1950,5,spa,alfa,Finished,4,4,35,+4:05.0,NaN,NaN,NaN,NaN
71,farina,1950,6,reims,alfa,Fuel pump,7,0,55,NaN,NaN,NaN,NaN,NaN
72,farina,1950,7,monza,alfa,Finished,1,8,80,2:51:17.4,NaN,NaN,NaN,NaN
73,faulkner,1950,3,indianapolis,kurtis_kraft,+3 Laps,7,0,135,NaN,NaN,NaN,NaN,NaN
74,flaherty,1950,3,indianapolis,kurtis_kraft,+3 Laps,10,0,135,NaN,NaN,NaN,NaN,NaN
75,fohr,1950,3,indianapolis,marchese,+5 Laps,11,0,133,NaN,NaN,NaN,NaN,NaN
76,fry,1950,1,silverstone,maserati,+6 Laps,10,0,64,NaN,NaN,NaN,NaN,NaN
77,gerard,1950,1,silverstone,era,+3 Laps,6,0,67,NaN,NaN,NaN,NaN,NaN
78,gerard,1950,2,monaco,era,+6 Laps,6,0,94,NaN,NaN,NaN,NaN,NaN
79,gonzalez,1950,2,monaco,maserati,Accident,10,0,1,NaN,NaN,NaN,NaN,NaN
80,gonzalez,1950,6,reims,maserati,Engine,18,0,3,NaN,NaN,NaN,NaN,NaN
81,green,1950,3,indianapolis,kurtis_kraft,+1 Lap,4,3,137,NaN,NaN,NaN,NaN,NaN
82,hampshire,1950,1,silverstone,maserati,+6 Laps,9,0,64,NaN,NaN,NaN,NaN,NaN
83,hampshire,1950,6,reims,maserati,Engine,16,0,5,NaN,NaN,NaN,NaN,NaN
84,hanks,1950,3,indianapolis,kurtis_kraft,Oil pressure,30,0,42,NaN,NaN,NaN,NaN,NaN
85,harrison,1950,1,silverstone,era,+3 Laps,7,0,67,NaN,NaN,NaN,NaN,NaN
86,harrison,1950,2,monaco,era,Accident,17,0,0,NaN,NaN,NaN,NaN,NaN
87,harrison,1950,7,monza,era,Radiator,9,0,51,NaN,NaN,NaN,NaN,NaN
88,hartley,1950,3,indianapolis,langley,+10 Laps,16,0,128,NaN,NaN,NaN,NaN,NaN
89,hellings,1950,3,indianapolis,kurtis_kraft,+6 Laps,13,0,132,NaN,NaN,NaN,NaN,NaN
90,holland,1950,3,indianapolis,deidt,+1 Lap,2,6,137,NaN,NaN,NaN,NaN,NaN
91,holmes,1950,3,indianapolis,olson,Spun off,23,0,123,NaN,NaN,NaN,NaN,NaN
92,hoyt,1950,3,indianapolis,kurtis_kraft,+13 Laps,21,0,125,NaN,NaN,NaN,NaN,NaN
93,jackson,1950,3,indianapolis,kurtis_kraft,Supercharger,29,0,52,NaN,NaN,NaN,NaN,NaN
94,leslie_johnson,1950,1,silverstone,era,Supercharger,21,0,2,NaN,NaN,NaN,NaN,NaN
95,kelly,1950,1,silverstone,alta,Not classified,13,0,57,NaN,NaN,NaN,NaN,NaN
96,levegh,1950,5,spa,lago,+2 Laps,7,0,33,NaN,NaN,NaN,NaN,NaN
97,levegh,1950,6,reims,lago,Engine,9,0,36,NaN,NaN,NaN,NaN,NaN
98,levegh,1950,7,monza,lago,Gearbox,14,0,29,NaN,NaN,NaN,NaN,NaN
99,levrett,1950,3,indianapolis,adams,Oil pressure,27,0,108,NaN,NaN,NaN,NaN,NaN
100,louveau,1950,7,monza,lago,Brakes,19,0,16,NaN,NaN,NaN,NaN,NaN
101,guy_mairesse,1950,7,monza,lago,Oil pipe,11,0,42,NaN,NaN,NaN,NaN,NaN
102,manzon,1950,2,monaco,simca,Accident,14,0,0,NaN,NaN,NaN,NaN,NaN
103,manzon,1950,6,reims,simca,+3 Laps,4,3,61,NaN,NaN,NaN,NaN,NaN
104,manzon,1950,7,monza,simca,Transmission,24,0,7,NaN,NaN,NaN,NaN,NaN
105,martin,1950,1,silverstone,lago,Oil pressure,19,0,8,NaN,NaN,NaN,NaN,NaN
106,martin,1950,4,bremgarten,lago,Accident,14,0,19,NaN,NaN,NaN,NaN,NaN
107,mcdowell,1950,3,indianapolis,kurtis_kraft,+10 Laps,18,0,128,NaN,NaN,NaN,NaN,NaN
108,mcgrath,1950,3,indianapolis,kurtis_kraft,Spun off,14,0,131,NaN,NaN,NaN,NaN,NaN
109,murray,1950,1,silverstone,maserati,Engine,15,0,44,NaN,NaN,NaN,NaN,NaN
110,murray,1950,7,monza,maserati,Gearbox,8,0,56,NaN,NaN,NaN,NaN,NaN
111,pagani,1950,4,bremgarten,maserati,+3 Laps,7,0,39,NaN,NaN,NaN,NaN,NaN
112,reg_parnell,1950,1,silverstone,alfa,Finished,3,4,70,+52.0,NaN,NaN,NaN,NaN
113,reg_parnell,1950,6,reims,maserati,Engine,13,0,9,NaN,NaN,NaN,NaN,NaN
114,parsons,1950,3,indianapolis,kurtis_kraft,Finished,1,9,138,2:46:55.97,NaN,NaN,NaN,NaN
115,pian,1950,2,monaco,maserati,Accident,21,0,0,NaN,NaN,NaN,NaN,NaN
116,pietsch,1950,7,monza,maserati,Engine,26,0,0,NaN,NaN,NaN,NaN,NaN
117,pozzi,1950,6,reims,lago,+8 Laps,6,0,56,NaN,NaN,NaN,NaN,NaN
118,dick_rathmann,1950,3,indianapolis,watson,Stalled,32,0,25,NaN,NaN,NaN,NaN,NaN
119,rathmann,1950,3,indianapolis,wetteroth,+16 Laps,24,0,122,NaN,NaN,NaN,NaN,NaN
120,rol,1950,2,monaco,maserati,Accident,18,0,0,NaN,NaN,NaN,NaN,NaN
121,rol,1950,6,reims,maserati,Engine,14,0,6,NaN,NaN,NaN,NaN,NaN
122,rol,1950,7,monza,maserati,Retired,12,0,39,NaN,NaN,NaN,NaN,NaN
123,rolt,1950,1,silverstone,era,Gearbox,20,0,5,NaN,NaN,NaN,NaN,NaN
124,rose,1950,3,indianapolis,deidt,+1 Lap,3,4,137,NaN,NaN,NaN,NaN,NaN
125,rosier,1950,1,silverstone,lago,+2 Laps,5,2,68,NaN,NaN,NaN,NaN,NaN
126,rosier,1950,2,monaco,lago,Accident,13,0,0,NaN,NaN,NaN,NaN,NaN
127,rosier,1950,4,bremgarten,lago,+1 Lap,3,4,41,NaN,NaN,NaN,NaN,NaN
128,rosier,1950,5,spa,lago,Finished,3,4,35,+2:19.0,NaN,NaN,NaN,NaN
129,rosier,1950,6,reims,lago,+8 Laps,6,0,56,NaN,NaN,NaN,NaN,NaN
130,rosier,1950,7,monza,lago,+5 Laps,4,3,75,NaN,NaN,NaN,NaN,NaN
131,paul_russo,1950,3,indianapolis,nichels,+3 Laps,9,0,135,NaN,NaN,NaN,NaN,NaN
132,ruttman,1950,3,indianapolis,lesovsky,+8 Laps,15,0,130,NaN,NaN,NaN,NaN,NaN
133,sanesi,1950,7,monza,alfa,Engine,23,0,11,NaN,NaN,NaN,NaN,NaN
134,schell,1950,2,monaco,cooper,Collision,19,0,0,NaN,NaN,NaN,NaN,NaN
135,schell,1950,4,bremgarten,lago,+3 Laps,8,0,39,NaN,NaN,NaN,NaN,NaN
136,schindler,1950,3,indianapolis,snowberger,Transmission,26,0,111,NaN,NaN,NaN,NaN,NaN
137,serafini,1950,7,monza,ferrari,Finished,2,3,80,+1:18.6,NaN,NaN,NaN,NaN
138,shawe_taylor,1950,1,silverstone,maserati,+6 Laps,10,0,64,NaN,NaN,NaN,NaN,NaN
139,sommer,1950,2,monaco,ferrari,+3 Laps,4,3,97,NaN,NaN,NaN,NaN,NaN
140,sommer,1950,4,bremgarten,ferrari,Suspension,15,0,19,NaN,NaN,NaN,NaN,NaN
141,sommer,1950,5,spa,lago,Oil pressure,12,0,20,NaN,NaN,NaN,NaN,NaN
142,sommer,1950,6,reims,lago,Overheating,17,0,4,NaN,NaN,NaN,NaN,NaN
143,sommer,1950,7,monza,lago,Gearbox,10,0,48,NaN,NaN,NaN,NaN,NaN
144,taruffi,1950,7,monza,alfa,Engine,13,0,34,NaN,NaN,NaN,NaN,NaN
145,trintignant,1950,2,monaco,simca,Accident,16,0,0,NaN,NaN,NaN,NaN,NaN
146,trintignant,1950,7,monza,simca,Water pipe,21,0,13,NaN,NaN,NaN,NaN,NaN
147,villoresi,1950,2,monaco,ferrari,Axle,8,0,63,NaN,NaN,NaN,NaN,NaN
148,villoresi,1950,4,bremgarten,ferrari,Engine,16,0,9,NaN,NaN,NaN,NaN,NaN
149,villoresi,1950,5,spa,ferrari,+2 Laps,6,0,33,NaN,NaN,NaN,NaN,NaN
150,peter_walker,1950,1,silverstone,era,Gearbox,20,0,5,NaN,NaN,NaN,NaN,NaN
151,wallard,1950,3,indianapolis,moore,+2 Laps,6,0,136,NaN,NaN,NaN,NaN,NaN
152,webb,1950,3,indianapolis,maserati,+12 Laps,20,0,126,NaN,NaN,NaN,NaN,NaN
153,whitehead,1950,2,monaco,ferrari,Engine,20,0,0,NaN,NaN,NaN,NaN,NaN
154,whitehead,1950,6,reims,ferrari,+3 Laps,3,4,61,NaN,NaN,NaN,NaN,NaN
155,whitehead,1950,7,monza,ferrari,+8 Laps,7,0,72,NaN,NaN,NaN,NaN,NaN
156,abecassis,1951,1,bremgarten,hwm,Magneto,17,0,23,NaN,NaN,NaN,NaN,NaN
157,agabashian,1951,2,indianapolis,kurtis_kraft,Clutch,17,0,109,NaN,NaN,NaN,NaN,NaN
158,ascari,1951,1,bremgarten,ferrari,+2 Laps,6,0,40,NaN,NaN,NaN,NaN,NaN
159,ascari,1951,3,spa,ferrari,Finished,2,6,36,+2:51.0,NaN,NaN,NaN,NaN
160,ascari,1951,4,reims,ferrari,Finished,2,3,77,+58.2,NaN,NaN,NaN,NaN
161,ascari,1951,5,silverstone,ferrari,Gearbox,16,0,56,NaN,NaN,NaN,NaN,NaN
162,ascari,1951,6,nurburgring,ferrari,Finished,1,8,20,3:23:03.3,NaN,NaN,NaN,NaN
163,ascari,1951,7,monza,ferrari,Finished,1,8,80,2:42:39.3,NaN,NaN,NaN,NaN
164,ascari,1951,8,pedralbes,ferrari,+2 Laps,4,3,68,NaN,NaN,NaN,NaN,NaN
165,ayulo,1951,2,indianapolis,kurtis_kraft,Finished,3,2,200,+2:51.39,NaN,NaN,NaN,NaN
166,ball,1951,2,indianapolis,schroeder,Finished,5,2,200,+4:52.23,NaN,NaN,NaN,NaN
167,banks,1951,2,indianapolis,moore,Finished,6,0,200,+5:40.02,NaN,NaN,NaN,NaN
168,bettenhausen,1951,2,indianapolis,deidt,Spun off,9,0,178,NaN,NaN,NaN,NaN,NaN
169,bira,1951,8,pedralbes,maserati,Engine,19,0,1,NaN,NaN,NaN,NaN,NaN
170,bonetto,1951,5,silverstone,alfa,+3 Laps,4,3,87,NaN,NaN,NaN,NaN,NaN
171,bonetto,1951,6,nurburgring,alfa,Magneto,14,0,12,NaN,NaN,NaN,NaN,NaN
172,bonetto,1951,7,monza,alfa,+1 Lap,3,2,79,NaN,NaN,NaN,NaN,NaN
173,bonetto,1951,8,pedralbes,alfa,+2 Laps,5,2,68,NaN,NaN,NaN,NaN,NaN
174,branca,1951,6,nurburgring,maserati,Engine,21,0,3,NaN,NaN,NaN,NaN,NaN
175,walt_brown,1951,2,indianapolis,kurtis_kraft,Magneto,26,0,55,NaN,NaN,NaN,NaN,NaN
176,cabantous,1951,1,bremgarten,lago,Ignition,18,0,14,NaN,NaN,NaN,NaN,NaN
177,cabantous,1951,3,spa,lago,+2 Laps,5,2,34,NaN,NaN,NaN,NaN,NaN
178,cabantous,1951,4,reims,lago,+6 Laps,7,0,71,NaN,NaN,NaN,NaN,NaN
179,cabantous,1951,6,nurburgring,lago,Accident,12,0,17,NaN,NaN,NaN,NaN,NaN
180,cabantous,1951,7,monza,lago,+8 Laps,8,0,72,NaN,NaN,NaN,NaN,NaN
181,cabantous,1951,8,pedralbes,lago,Accident,17,0,7,NaN,NaN,NaN,NaN,NaN
182,darter,1951,2,indianapolis,deidt,+20 Laps,8,0,180,NaN,NaN,NaN,NaN,NaN
183,chaboud,1951,4,reims,lago,+8 Laps,8,0,69,NaN,NaN,NaN,NaN,NaN
184,chiron,1951,1,bremgarten,maserati,+2 Laps,7,0,40,NaN,NaN,NaN,NaN,NaN
185,chiron,1951,3,spa,lago,Engine,10,0,28,NaN,NaN,NaN,NaN,NaN
186,chiron,1951,4,reims,lago,+6 Laps,6,0,71,NaN,NaN,NaN,NaN,NaN
187,chiron,1951,5,silverstone,lago,Brakes,19,0,41,NaN,NaN,NaN,NaN,NaN
188,chiron,1951,6,nurburgring,lago,Ignition,20,0,3,NaN,NaN,NaN,NaN,NaN
189,chiron,1951,7,monza,lago,Ignition,13,0,23,NaN,NaN,NaN,NaN,NaN
190,chiron,1951,8,pedralbes,lago,Ignition,18,0,4,NaN,NaN,NaN,NaN,NaN
191,claes,1951,1,bremgarten,lago,+7 Laps,13,0,35,NaN,NaN,NaN,NaN,NaN
192,claes,1951,3,spa,lago,+3 Laps,7,0,33,NaN,NaN,NaN,NaN,NaN
193,claes,1951,4,reims,lago,Accident,12,0,54,NaN,NaN,NaN,NaN,NaN
194,claes,1951,5,silverstone,lago,+10 Laps,13,0,80,NaN,NaN,NaN,NaN,NaN
195,claes,1951,6,nurburgring,lago,+3 Laps,11,0,17,NaN,NaN,NaN,NaN,NaN
196,claes,1951,7,monza,lago,Oil pump,17,0,4,NaN,NaN,NaN,NaN,NaN
197,claes,1951,8,pedralbes,lago,Accident,13,0,37,NaN,NaN,NaN,NaN,NaN
198,george_connor,1951,2,indianapolis,lesovsky,Transmission,30,0,29,NaN,NaN,NaN,NaN,NaN
199,davies,1951,2,indianapolis,pawl,Axle,16,0,110,NaN,NaN,NaN,NaN,NaN
200,graffenried,1951,1,bremgarten,alfa,+2 Laps,5,2,40,NaN,NaN,NaN,NaN,NaN
201,graffenried,1951,4,reims,maserati,Transmission,22,0,1,NaN,NaN,NaN,NaN,NaN
202,graffenried,1951,6,nurburgring,maserati,Engine,22,0,2,NaN,NaN,NaN,NaN,NaN
203,graffenried,1951,7,monza,alfa,Supercharger,18,0,1,NaN,NaN,NaN,NaN,NaN
204,graffenried,1951,8,pedralbes,alfa,+4 Laps,6,0,66,NaN,NaN,NaN,NaN,NaN
205,dinsmore,1951,2,indianapolis,schroeder,Overheating,24,0,73,NaN,NaN,NaN,NaN,NaN
206,etancelin,1951,1,bremgarten,lago,+3 Laps,10,0,39,NaN,NaN,NaN,NaN,NaN
207,etancelin,1951,3,spa,lago,Transmission,13,0,0,NaN,NaN,NaN,NaN,NaN
208,etancelin,1951,4,reims,lago,Engine,14,0,37,NaN,NaN,NaN,NaN,NaN
209,etancelin,1951,6,nurburgring,lago,Gearbox,19,0,4,NaN,NaN,NaN,NaN,NaN
210,etancelin,1951,8,pedralbes,lago,+7 Laps,8,0,63,NaN,NaN,NaN,NaN,NaN
211,fagioli,1951,4,reims,alfa,Finished,1,4,77,3:22:11.0,NaN,NaN,NaN,NaN
212,fangio,1951,1,bremgarten,alfa,Finished,1,9,42,2:07:53.64,NaN,NaN,NaN,NaN
213,fangio,1951,3,spa,alfa,+4 Laps,9,1,32,NaN,NaN,NaN,NaN,NaN
214,fangio,1951,4,reims,alfa,Finished,1,5,77,3:22:11.0,NaN,NaN,NaN,NaN
215,fangio,1951,5,silverstone,alfa,Finished,2,6,90,+51.0,NaN,NaN,NaN,NaN
216,fangio,1951,6,nurburgring,alfa,Finished,2,7,20,+30.5,NaN,NaN,NaN,NaN
217,fangio,1951,7,monza,alfa,Engine,10,0,39,NaN,NaN,NaN,NaN,NaN
218,fangio,1951,8,pedralbes,alfa,Finished,1,9,70,2:46:54.10,NaN,NaN,NaN,NaN
219,farina,1951,1,bremgarten,alfa,Finished,3,4,42,+1:19.31,NaN,NaN,NaN,NaN
220,farina,1951,3,spa,alfa,Finished,1,8,36,2:45:46.2,NaN,NaN,NaN,NaN
221,farina,1951,4,reims,alfa,+4 Laps,5,2,73,NaN,NaN,NaN,NaN,NaN
222,farina,1951,5,silverstone,alfa,Clutch,14,1,75,NaN,NaN,NaN,NaN,NaN
223,farina,1951,6,nurburgring,alfa,Overheating,18,0,8,NaN,NaN,NaN,NaN,NaN
224,farina,1951,7,monza,alfa,+1 Lap,3,3,79,NaN,NaN,NaN,NaN,NaN
225,farina,1951,8,pedralbes,alfa,Finished,3,4,70,+1:45.54,NaN,NaN,NaN,NaN
226,faulkner,1951,2,indianapolis,kuzma,Engine,15,0,123,NaN,NaN,NaN,NaN,NaN
227,fischer,1951,1,bremgarten,ferrari,+3 Laps,11,0,39,NaN,NaN,NaN,NaN,NaN
228,fischer,1951,6,nurburgring,ferrari,+1 Lap,6,0,19,NaN,NaN,NaN,NaN,NaN
229,forberg,1951,2,indianapolis,kurtis_kraft,+7 Laps,7,0,193,NaN,NaN,NaN,NaN,NaN
230,force,1951,2,indianapolis,kurtis_kraft,Engine,11,0,142,NaN,NaN,NaN,NaN,NaN
231,parker,1951,5,silverstone,maserati,Oil leak,17,0,46,NaN,NaN,NaN,NaN,NaN
232,gerard,1951,5,silverstone,era,+8 Laps,11,0,82,NaN,NaN,NaN,NaN,NaN
233,godia,1951,8,pedralbes,maserati,+10 Laps,10,0,60,NaN,NaN,NaN,NaN,NaN
234,gonzalez,1951,1,bremgarten,lago,Oil pump,20,0,10,NaN,NaN,NaN,NaN,NaN
235,gonzalez,1951,4,reims,ferrari,Finished,2,3,77,+58.2,NaN,NaN,NaN,NaN
236,gonzalez,1951,5,silverstone,ferrari,Finished,1,8,90,2:42:18.2,NaN,NaN,NaN,NaN
237,gonzalez,1951,6,nurburgring,ferrari,Finished,3,4,20,+4:39.0,NaN,NaN,NaN,NaN
238,gonzalez,1951,7,monza,ferrari,Finished,2,6,80,+24.6,NaN,NaN,NaN,NaN
239,gonzalez,1951,8,pedralbes,ferrari,Finished,2,6,70,+54.28,NaN,NaN,NaN,NaN
240,gordini,1951,4,reims,simca,Engine,15,0,27,NaN,NaN,NaN,NaN,NaN
241,green,1951,2,indianapolis,kurtis_kraft,Engine,22,0,80,NaN,NaN,NaN,NaN,NaN
242,griffith,1951,2,indianapolis,kurtis_kraft,Axle,28,0,30,NaN,NaN,NaN,NaN,NaN
243,grignard,1951,8,pedralbes,lago,Engine,16,0,23,NaN,NaN,NaN,NaN,NaN
244,duncan_hamilton,1951,5,silverstone,lago,+9 Laps,12,0,81,NaN,NaN,NaN,NaN,NaN
245,duncan_hamilton,1951,6,nurburgring,lago,Oil pressure,15,0,12,NaN,NaN,NaN,NaN,NaN
246,hanks,1951,2,indianapolis,kurtis_kraft,Engine,12,0,135,NaN,NaN,NaN,NaN,NaN
247,hellings,1951,2,indianapolis,deidt,Engine,31,0,18,NaN,NaN,NaN,NaN,NaN
248,hirt,1951,1,bremgarten,veritas,Fuel system,21,0,0,NaN,NaN,NaN,NaN,NaN
249,john_james,1951,5,silverstone,maserati,Radiator,20,0,23,NaN,NaN,NaN,NaN,NaN
250,james,1951,2,indianapolis,watson,Transmission,33,0,8,NaN,NaN,NaN,NaN,NaN
251,jover,1951,8,pedralbes,maserati,Engine,20,0,0,NaN,NaN,NaN,NaN,NaN
252,kelly,1951,5,silverstone,alta,Not classified,15,0,75,NaN,NaN,NaN,NaN,NaN
253,landi,1951,7,monza,ferrari,Transmission,20,0,0,NaN,NaN,NaN,NaN,NaN
254,levegh,1951,3,spa,lago,+4 Laps,8,0,32,NaN,NaN,NaN,NaN,NaN
255,levegh,1951,6,nurburgring,lago,+2 Laps,9,0,18,NaN,NaN,NaN,NaN,NaN
256,levegh,1951,7,monza,lago,Engine,14,0,9,NaN,NaN,NaN,NaN,NaN
257,linden,1951,2,indianapolis,sherman,Finished,4,3,200,+4:40.12,NaN,NaN,NaN,NaN
258,louveau,1951,1,bremgarten,lago,Accident,16,0,30,NaN,NaN,NaN,NaN,NaN
259,mackey,1951,2,indianapolis,hall,Clutch,19,0,97,NaN,NaN,NaN,NaN,NaN
260,guy_mairesse,1951,1,bremgarten,lago,+11 Laps,14,0,31,NaN,NaN,NaN,NaN,NaN
261,guy_mairesse,1951,4,reims,lago,+11 Laps,9,0,66,NaN,NaN,NaN,NaN,NaN
262,manzon,1951,4,reims,simca,Engine,20,0,3,NaN,NaN,NaN,NaN,NaN
263,manzon,1951,6,nurburgring,simca,+1 Lap,7,0,19,NaN,NaN,NaN,NaN,NaN
264,manzon,1951,7,monza,simca,Engine,12,0,29,NaN,NaN,NaN,NaN,NaN
265,manzon,1951,8,pedralbes,simca,+7 Laps,9,0,63,NaN,NaN,NaN,NaN,NaN
266,marimon,1951,4,reims,maserati,Engine,21,0,2,NaN,NaN,NaN,NaN,NaN
