status,year,points
Halfshaft,1957,1
Disqualified,1956,1
Disqualified,1952,1
Differential,2009,1
Differential,1994,1
Differential,1992,1
Differential,1983,1
Differential,1982,1
Differential,1980,1
Differential,1978,1
Halfshaft,1953,1
Halfshaft,1954,1
Halfshaft,1956,1
Differential,1976,1
Chassis,1991,1
Halfshaft,1962,1
Differential,1975,1
Differential,1973,1
Halfshaft,1970,1
Halfshaft,1971,1
Halfshaft,1980,1
Halfshaft,1981,1
Halfshaft,1990,1
Halfshaft,1994,1
Halfshaft,1996,1
Halfshaft,1998,1
Halfshaft,2000,1
Disqualified,1958,1
Disqualified,1959,1
Disqualified,1963,1
Disqualified,1964,1
Distributor,1964,1
Distributor,1957,1
Disqualified,2014,1
Disqualified,2009,1
Disqualified,2008,1
Fuel system,1990,1
Fuel system,1991,1
Fuel system,1994,1
Fuel system,1996,1
Fuel system,2000,1
Fuel system,2013,1
Fuel system,2015,1
Disqualified,2001,1
Disqualified,1998,1
Disqualified,1995,1
Disqualified,1993,1
Disqualified,1992,1
Disqualified,1991,1
Disqualified,1986,1
Disqualified,1976,1
Disqualified,1975,1
Disqualified,1973,1
Disqualified,1969,1
Disqualified,1967,1
Disqualified,1966,1
Handling,1969,1
Handling,1971,1
Differential,1969,1
Crankshaft,2001,1
Hydraulics,2016,1
Hydraulics,2019,1
Ignition,1954,1
Ignition,1955,1
Ignition,1956,1
Ignition,1958,1
Ignition,1960,1
Collision damage,2014,1
Collision damage,2012,1
Collision,1985,1
107% Rule,2001,1
Ignition,1975,1
Ignition,1978,1
Ignition,1985,1
Collision,1980,1
Ignition,1990,1
Ignition,1994,1
Ignition,2002,1
Injection,1954,1
Injection,1955,1
Injection,1961,1
Injection,1965,1
Injection,1971,1
Injection,1973,1
Injection,1975,1
Hydraulics,2012,1
Damage,2019,1
Handling,1978,1
Differential,1952,1
Handling,1984,1
Handling,1987,1
Handling,1990,1
Handling,1993,1
Handling,1994,1
Handling,1995,1
Handling,1996,1
Handling,2004,1
Heat shield fire,1954,1
Heat shield fire,1958,1
Heat shield fire,1961,1
Heat shield fire,1974,1
Heat shield fire,1980,1
Heat shield fire,1981,1
Heat shield fire,1983,1
Heat shield fire,1985,1
Heat shield fire,1986,1
Heat shield fire,1994,1
Heat shield fire,1996,1
Heat shield fire,2006,1
Heat shield fire,2011,1
Hydraulics,1987,1
Differential,1965,1
Differential,1961,1
Differential,1959,1
Distributor,1969,1
Fuel system,1969,1
Fuel system,1963,1
Driver unwell,1983,1
Driver unwell,1978,1
Driver unwell,1965,1
Engine fire,2005,1
Engine misfire,2011,1
Excluded,1992,1
Excluded,2015,1
Exhaust,1952,1
Exhaust,1953,1
Exhaust,1976,1
Exhaust,1978,1
Exhaust,1980,1
Driver Seat,2008,1
Exhaust,1986,1
Exhaust,1989,1
Exhaust,2001,1
Exhaust,2006,1
Exhaust,2010,1
Exhaust,2012,1
Exhaust,2014,1
Exhaust,2019,1
Eye injury,1972,1
Fatal accident,1970,1
Fatal accident,1974,1
Fatal accident,1982,1
Fire,1989,1
Driver unwell,1982,1
Driver unwell,1985,1
Fire,2004,1
Driveshaft,1987,1
Electronics,2009,1
Electronics,2007,1
Electronics,2006,1
Electronics,2004,1
Electronics,2003,1
Electronics,2002,1
Electrical,2018,1
Electrical,2013,1
Electrical,2011,1
Electrical,2010,1
Electrical,2008,1
Electrical,2007,1
Electrical,1978,1
Electrical,1971,1
Electrical,1963,1
Electrical,1962,1
Electrical,1960,1
Electrical,1957,1
Electrical,1953,1
Electrical,1952,1
Drivetrain,2014,1
Drivetrain,2002,1
Driveshaft,2017,1
Driveshaft,2010,1
Driveshaft,2003,1
Fire,1999,1
Front wing,2007,1
Fuel system,1961,1
Fuel pressure,1970,1
Distributor,1990,1
Fuel pressure,2002,1
Fuel pressure,2005,1
Fuel pressure,2010,1
Fuel pressure,2017,1
Fuel pressure,2018,1
Fuel pump,1950,1
Fuel pump,1961,1
Fuel pump,1962,1
Fuel pump,1975,1
Fuel pump,1976,1
Fuel pump,1981,1
Fuel pump,1983,1
Fuel pump,1984,1
Fuel pump,1985,1
Fuel pump,1986,1
Fuel pump,1989,1
Fuel pump,1996,1
Fuel pump,1998,1
Fuel pump,2006,1
Fuel pump,2010,1
Fuel rig,2001,1
Fuel rig,2003,1
Fuel system,1951,1
Fuel system,1955,1
Fuel pressure,1971,1
Fuel pipe,1978,1
Front wing,2010,1
Fuel pipe,1976,1
Front wing,2015,1
Front wing,2017,1
Fuel,2002,1
Fuel,2003,1
Fuel leak,1951,1
Fuel leak,1952,1
Fuel leak,1955,1
Fuel leak,1956,1
Fuel leak,1959,1
Fuel leak,1961,1
Fuel leak,1962,1
Fuel leak,1964,1
Fuel leak,1965,1
Fuel leak,1967,1
Fuel leak,1972,1
Fuel leak,1973,1
Fuel leak,1979,1
Fuel leak,1981,1
Fuel leak,1984,1
Fuel leak,1987,1
Fuel leak,1988,1
Fuel leak,1989,1
Fuel leak,1990,1
Fuel leak,1995,1
Fuel pipe,1970,1
Collision,1978,1
Injection,1983,1
Injection,1985,1
Overheating,2019,1
Physical,1958,1
Physical,1959,1
Physical,1963,1
Physical,1969,1
Physical,1971,1
Physical,1972,1
Physical,1973,1
Physical,1974,1
Physical,1975,1
Physical,1976,1
Physical,1978,1
Physical,1982,1
Physical,1983,1
Physical,1987,1
Physical,1989,1
Physical,1992,1
Physical,1994,1
Physical,1999,1
Pneumatics,2006,1
Pneumatics,2013,1
Clutch,1971,1
Clutch,1969,1
Clutch,1968,1
Power Unit,2018,1
Power loss,2016,1
Physical,1953,1
Overheating,2018,1
Puncture,1974,1
Overheating,2016,1
Electronics,2012,1
Out of fuel,1993,1
Out of fuel,1994,1
Out of fuel,1997,1
Out of fuel,2005,1
Out of fuel,2009,1
Out of fuel,2019,1
Overheating,1955,1
Overheating,1962,1
Clutch,1977,1
Overheating,1966,1
Overheating,1976,1
Overheating,1980,1
Overheating,1981,1
Overheating,1983,1
Clutch,1972,1
Overheating,1991,1
Overheating,1992,1
Overheating,1994,1
Overheating,1995,1
Overheating,1999,1
Overheating,2004,1
Overheating,2008,1
Overheating,2009,1
Overheating,2010,1
Puncture,1962,1
Puncture,1985,1
Out of fuel,1978,1
Rear wing,2010,1
Rear wing,2012,1
Rear wing,2014,1
Refuelling,2007,1
Retired,1951,1
Retired,1955,1
Retired,1957,1
Retired,1963,1
Retired,1966,1
Retired,1976,1
Retired,1981,1
Retired,1982,1
Retired,1985,1
Retired,2006,1
Clutch,1961,1
Safety belt,1996,1
Seat,2017,1
Spark plugs,2017,1
Spun off,1951,1
Spun off,1952,1
Spun off,1971,1
Spun off,1973,1
Clutch,1956,1
Clutch,1955,1
Clutch,1950,1
Chassis,2002,1
Rear wing,2011,1
Rear wing,2004,1
Puncture,1988,1
Rear wing,1999,1
Puncture,1990,1
Puncture,1994,1
Puncture,1995,1
Puncture,1997,1
Puncture,1998,1
Puncture,2004,1
Puncture,2010,1
Puncture,2011,1
Puncture,2012,1
Puncture,2016,1
Radiator,1950,1
Radiator,1952,1
Radiator,1960,1
Radiator,1962,1
Radiator,1963,1
Radiator,1970,1
Radiator,1973,1
Radiator,1975,1
Radiator,1976,1
Radiator,1977,1
Radiator,1990,1
Radiator,1991,1
Radiator,1994,1
Radiator,2003,1
Radiator,2008,1
Out of fuel,1983,1
Out of fuel,1976,1
Injection,1986,1
Mechanical,2007,1
Mechanical,2010,1
Mechanical,2011,1
Mechanical,2016,1
Mechanical,2018,1
Not classified,1950,1
Not classified,1951,1
Not classified,1961,1
Not classified,1962,1
Not classified,1964,1
Not classified,1965,1
Collision,1969,1
Collision,1958,1
Collision,1950,1
Clutch,2010,1
Clutch,2009,1
Clutch,2008,1
Not classified,1978,1
Clutch,2006,1
Clutch,2004,1
Not classified,1993,1
Not classified,2004,1
Not restarted,2000,1
Oil leak,1952,1
Oil leak,1963,1
Clutch,2000,1
Mechanical,2008,1
Mechanical,2005,1
Oil leak,1971,1
Mechanical,2003,1
Injection,1987,1
Injection,1988,1
Injection,1991,1
Injured,1977,1
Injured,1988,1
Injured,1990,1
Injured,1995,1
Injured,2002,1
Injured,2003,1
Injured,2009,1
Injury,1966,1
Injury,1982,1
Injury,1985,1
Injury,1987,1
Injury,1993,1
Injury,1996,1
Injury,1997,1
Injury,1998,1
Injury,2002,1
Injury,2011,1
Launch control,2003,1
Magneto,1961,1
Mechanical,1982,1
Mechanical,1986,1
Mechanical,1992,1
Clutch,1998,1
Oil leak,1981,1
Out of fuel,1973,1
Oil pressure,1958,1
Oil pressure,1974,1
Oil pressure,1981,1
Oil pressure,1990,1
Oil pressure,1993,1
Oil pressure,1995,1
Oil pressure,2000,1
Oil pressure,2001,1
Oil pressure,2002,1
Oil pressure,2006,1
Oil pressure,2009,1
Oil pressure,2014,1
Oil pressure,2017,1
Oil pump,1950,1
Oil pump,1952,1
Oil pump,1976,1
Oil pump,1983,1
Oil pump,1996,1
Out of fuel,1950,1
Out of fuel,1953,1
Out of fuel,1955,1
Out of fuel,1965,1
Out of fuel,1966,1
Out of fuel,1967,1
Out of fuel,1969,1
Out of fuel,1971,1
Oil pressure,1964,1
Oil pressure,1956,1
Oil leak,1985,1
Oil pressure,1954,1
Oil leak,1987,1
Oil leak,1988,1
Oil leak,1989,1
Oil leak,1990,1
Oil leak,1999,1
Oil leak,2000,1
Oil leak,2003,1
Oil leak,2006,1
Oil leak,2009,1
Oil leak,2010,1
Oil leak,2013,1
Oil leak,2014,1
Oil leak,2015,1
Oil leak,2017,1
Oil leak,2018,1
Oil leak,2019,1
Oil line,1950,1
Oil line,2003,1
Oil pipe,1951,1
Oil pipe,1958,1
Oil pipe,1961,1
Oil pipe,1968,1
Oil pipe,1969,1
Oil pressure,1951,1
Oil pressure,1953,1
Withdrew,2019,1
